epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,136.934,2.46462,0.6845,0.97257,1.60485,0.000184309,0.000184309,0.000184309
2,270.422,1.07918,0.96022,0.99726,0.19534,0.000362324,0.000362324,0.000362324
3,409.975,0.5059,0.98354,0.99726,0.07433,0.000532999,0.000532999,0.000532999
4,539.801,0.36201,0.98354,0.99863,0.05408,0.000522974,0.000522974,0.000522974
5,669.164,0.31551,0.99177,1,0.03674,0.000511965,0.000511965,0.000511965
6,804.471,0.2864,0.98903,0.99863,0.0442,0.000500956,0.000500956,0.000500956
7,938.659,0.25917,0.99451,0.99863,0.02677,0.000489947,0.000489947,0.000489947
8,1088.37,0.22037,0.99588,1,0.02035,0.000478938,0.000478938,0.000478938
9,1216.71,0.2182,0.99588,1,0.01899,0.00046793,0.00046793,0.00046793
10,1349,0.22646,0.99177,1,0.02374,0.000456921,0.000456921,0.000456921
11,1485.09,0.17276,0.99451,1,0.01829,0.000445912,0.000445912,0.000445912
12,1617.76,0.16758,0.99726,1,0.01177,0.000434903,0.000434903,0.000434903
13,1751.25,0.17024,0.99588,0.99863,0.01781,0.000423894,0.000423894,0.000423894
14,1883.54,0.19856,0.99726,1,0.01433,0.000412886,0.000412886,0.000412886
15,2010.53,0.15449,0.99863,1,0.01089,0.000401877,0.000401877,0.000401877
16,2140.46,0.14875,0.99451,1,0.01138,0.000390868,0.000390868,0.000390868
17,2274.15,0.1512,0.99726,1,0.00833,0.000379859,0.000379859,0.000379859
18,2402.59,0.15656,0.99863,1,0.01002,0.00036885,0.00036885,0.00036885
19,2533.27,0.12867,0.99863,0.99863,0.00833,0.000357842,0.000357842,0.000357842
20,2665.98,0.13663,0.99863,1,0.00923,0.000346833,0.000346833,0.000346833
21,2798.07,0.1386,0.99726,1,0.0093,0.000335824,0.000335824,0.000335824
22,2929.27,0.12738,0.99451,1,0.01251,0.000324815,0.000324815,0.000324815
23,3064.87,0.1216,0.99726,1,0.00999,0.000313806,0.000313806,0.000313806
24,3197.25,0.13391,0.99863,1,0.00538,0.000302798,0.000302798,0.000302798
25,3330.21,0.11308,0.99863,1,0.00657,0.000291789,0.000291789,0.000291789
26,3459.18,0.12058,0.99863,1,0.0052,0.00028078,0.00028078,0.00028078
27,3597.71,0.13098,0.99863,1,0.00624,0.000269771,0.000269771,0.000269771
28,3729.48,0.12562,0.99726,1,0.00861,0.000258762,0.000258762,0.000258762
29,3858.09,0.1184,0.99863,1,0.00826,0.000247754,0.000247754,0.000247754
30,3988.72,0.11346,0.99863,1,0.00643,0.000236745,0.000236745,0.000236745
31,4120.97,0.0993,0.99863,1,0.00511,0.000225736,0.000225736,0.000225736
32,4250.29,0.11992,0.99863,1,0.00627,0.000214727,0.000214727,0.000214727
33,4378.68,0.10869,0.99726,1,0.00587,0.000203718,0.000203718,0.000203718
34,4515.73,0.09942,0.99588,1,0.00732,0.00019271,0.00019271,0.00019271
35,4646.29,0.10476,0.99863,1,0.0066,0.000181701,0.000181701,0.000181701
36,4775.81,0.12013,0.99863,1,0.00749,0.000170692,0.000170692,0.000170692
37,4911.05,0.08007,0.99863,1,0.00602,0.000159683,0.000159683,0.000159683
38,5047.42,0.10175,0.99863,1,0.00721,0.000148674,0.000148674,0.000148674
39,5175.67,0.07479,0.99863,1,0.00675,0.000137666,0.000137666,0.000137666
40,5307.12,0.08802,0.99863,1,0.00664,0.000126657,0.000126657,0.000126657
41,5437.1,0.08869,0.99863,1,0.00567,0.000115648,0.000115648,0.000115648
42,5563.27,0.09911,0.99863,1,0.00504,0.000104639,0.000104639,0.000104639
43,5696.55,0.08585,0.99863,1,0.00635,9.36304e-05,9.36304e-05,9.36304e-05
44,5827.7,0.07908,0.99863,1,0.00556,8.26216e-05,8.26216e-05,8.26216e-05
45,5956.9,0.07105,0.99863,1,0.00561,7.16128e-05,7.16128e-05,7.16128e-05
46,6084.15,0.0948,0.99863,1,0.00525,6.0604e-05,6.0604e-05,6.0604e-05
47,6215.37,0.07228,0.99863,1,0.00553,4.95952e-05,4.95952e-05,4.95952e-05
48,6349.31,0.08444,0.99863,1,0.00524,3.85864e-05,3.85864e-05,3.85864e-05
49,6481.58,0.08636,0.99863,1,0.00519,2.75776e-05,2.75776e-05,2.75776e-05
50,6613.64,0.08889,0.99863,1,0.00485,1.65688e-05,1.65688e-05,1.65688e-05
